transaction_id,card_number,bin,bin_country,card_type,card_brand,cardholder_name,issuing_bank,transaction_amount,transaction_currency,transaction_local_date,transmission_date_and_time,merchant_category_code,merchant_name,merchant_city,merchant_country,acquiring_country,authorization_code,transaction_fee,pos_entry_mode,transaction_status,channel,motif_rejet,cvv_validation,expiration_date_valid,is_ecommerce,is_domestic,ip_address,user_agent,customer_city,customer_phone,device_id,merchant_id,terminal_id,risk_score,is_fraud
1,4526253303163645,452625,Maroc,Debit,MasterCard,Youssef Fassi,Attijariwafa Bank,63.37,MAD,2025-01-07,2025-01-07T19:33:04,3000,FastFood Al Baraka,Unknown,Allemagne,Allemagne,000000,7.45,EMV,declined,POS,Invalid Card,invalid,True,False,False,0.0.0.0,N/A,Fès,0689044892,DEV-238,MID-3659,TERM-59747,0.9233562150606246,0
2,4706714261604383,470671,Maroc,Debit,Discover,Khadija Tahiri,BMCE Bank,46.0,MAD,2025-01-19,2025-01-19T04:57:37,4814,Souvenirs Medina,Unknown,République Dominicaine,République Dominicaine,000000,41.18,MANUAL,declined,POS,Bad Cvv3-cvc3,invalid,True,False,False,0.0.0.0,N/A,Laâyoune,0795639929,DEV-206,MID-7362,TERM-97610,0.9839162812467773,1
3,4556638078466332,455663,Chine,Prepaid,MasterCard,Mehdi Qadiri,Al Barid Bank,70.87,MAD,2025-01-14,2025-01-14T20:24:45,5541,BIM Store,Unknown,Népal,Népal,000000,41.6,EMV,declined,POS,Bad CVV/CVC,valid,True,False,False,0.0.0.0,N/A,Tanger,0613695394,DEV-984,MID-9338,TERM-31421,0.9293599389288039,0
4,4469791923956764,446979,Maroc,Prepaid,Discover,Zineb El Hariri,Attijariwafa Bank,16.88,MAD,2025-01-31,2025-01-31T16:35:06,4814,Station Afriquia,Unknown,Colombie,Colombie,000000,9.85,EMV,declined,POS,expired_card,valid,False,False,False,0.0.0.0,N/A,Casablanca,0660299038,DEV-574,MID-3334,TERM-81120,0.9145461418090159,0
5,4168943347504182,416894,Maroc,Debit,Discover,Amine Qadiri,Al Barid Bank,154.5,MAD,2025-01-29,2025-01-29T22:03:31,5541,Bijouterie L'Or,Unknown,Cambodia,Cambodia,000000,17.71,MAGSTRIPE,declined,ATM,Bad Cvv3-cvc3,invalid,False,False,False,0.0.0.0,N/A,Laâyoune,0781748352,DEV-141,MID-9028,TERM-66801,0.9258878508270926,0
6,4238801709866557,423880,Maroc,Debit,Amex,Zineb Mansouri,SGMB,18.55,MAD,2025-01-24,2025-01-24T18:10:59,6011,Acima,Unknown,Sri Lanka,Sri Lanka,000000,19.07,MANUAL,declined,POS,Invalid Card,valid,False,False,False,0.0.0.0,N/A,Tetouan,0624698661,DEV-259,MID-2535,TERM-49064,0.9725006053431176,0
7,4426258441105144,442625,Maroc,Prepaid,Visa,Ali El Hariri,CIH Bank,11.47,MAD,2025-01-21,2025-01-21T11:12:41,5812,Carrefour Market,Unknown,Sri Lanka,Maroc,000000,29.4,MAGSTRIPE,declined,POS,Invalid Card,valid,False,False,True,0.0.0.0,N/A,Meknès,0771482985,DEV-309,MID-2757,TERM-21685,0.8180505416980312,0
8,4569480632003558,456948,Inde,Prepaid,Visa,Aya Mansouri,Crédit du Maroc,59.43,MAD,2025-01-15,2025-01-15T21:30:07,4814,Acima,Laâyoune,Maroc,Maroc,700763,13.38,EMV,approved,POS,none,valid,True,False,False,0.0.0.0,N/A,Casablanca,0631646543,DEV-765,MID-6637,TERM-50022,0.8239129349163066,0
9,4912803114858495,491280,USA,Prepaid,Visa,Youssef Tahiri,BMCI,15.01,MAD,2025-01-07,2025-01-07T18:53:28,5541,Electro Planet,Unknown,France,France,000000,39.14,EMV,declined,ATM,expired_card,invalid,False,False,False,0.0.0.0,N/A,Rabat,0623614842,DEV-478,MID-9710,TERM-20696,0.9258105380988257,0
10,4889323261345922,488932,Maroc,Prepaid,Discover,Ali Qadiri,Al Barid Bank,28.21,EUR,2025-01-04,2025-01-04T22:11:35,5094,Station Afriquia,Meknès,Maroc,Maroc,000000,34.47,EMV,declined,POS,Invalid Card,valid,True,False,True,0.0.0.0,N/A,Meknès,0747761411,DEV-483,MID-4747,TERM-43058,0.8176504752345695,0
